"ASV" "cluster" "median" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "BOLD_bin" "representative" "n_reads" "n_samples"
"24" "58ede65886e9b7b93eda36f6e9791594" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 2151 10
"25" "772767fbfcecc561592ab069b1cc3be0" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 2116 5
"26" "d5ad45d417682661f7dade6b676f61ee" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 2071 5
"27" "64fbc8aafb5d5747b9adc2b28876d7fe" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1765 420
"28" "24b4ddd6f4ab0fc55687df33e82e20ca" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1679 8
"29" "a95318a083a94c20dfefe334134a83c6" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1384 6
"30" "c8077d8d5876883b5a85ca5daf68eddf" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1295 2
"31" "c72969a18ac356a76d9cffdded48b3a5" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1220 6
"32" "0f4dbaf7015bbe69c05d340339915694" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1176 4
"33" "76dfdf26beacb380813b2f2d871b194c" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1153 270
"34" "14f0e425f7b0d677837ece69fe7b0fcd" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1091 8
"35" "4da552c3a3e313d039b2fdd7ed259b82" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 1061 4
"36" "b07442c98bbe34a8e4df9d37738d0a67" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 991 3
"37" "f505e2c1fa0a4053af3eba3a06f1602e" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 962 14
"38" "f80b5410384d5714460fadb299dc1506" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 922 2
"39" "80cb285179a401acf99d25bc35c1f02e" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 911 4
"40" "e1abd0494edcf4f85f39fe5e82a3208d" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 886 3
"41" "2e12aa61359cce7620e3ee39e588cd82" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 878 1
"42" "190c17c64345cc08ea4f37565dd4e614" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 857 4
"43" "ab8b2cd9d17479aa857b8e7b8c4622bf" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 771 297
"44" "c396f3f0459412adc8520dec7d123af1" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 770 3
"45" "3c5adde0f875f2d6573d9d9adcbbef5c" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 673 3
"46" "ed30d83f80c06d687c7710b6e51c75b1" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 624 14
"47" "468f41d80278d4556ab10cf48276c0ed" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 617 4
"48" "40170688c62d22d61458908b71afc326" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 612 2
"49" "6c7e9fe9b6ddfd5443bc6f2cf5d67f4b" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 609 1
"50" "eeeb92fe7f624429940d58c321dd970b" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 598 2
"51" "95fcf84f381a5ac67f8f5062b88453fc" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 587 2
"52" "865a078982851aab585f42fba2075481" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 552 2
"53" "b9c17852f82d8a737fe0b7d547a41b60" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 501 2
"54" "238b1859f89282de7e38074df28382b4" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 424 3
"55" "9edb6fcdb781f281a57251862e934b7d" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 413 93
"56" "b06ffb25e25b2fd03a65125ba07ae234" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 411 3
"57" "ed967b3f708fcdbf4892cbf9bb0ab09a" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 410 2
"58" "26bec2fc5871456cd7ec7e10fdcb54ab" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 368 2
"59" "9dfca28b7be76350b0a90089ec14a699" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 359 3
"60" "e11139a13b11a53139995e32dc114577" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 337 2
"61" "46cfee68894c43829f1f02aba38c670f" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 324 1
"62" "e10b1569a264599871b577275b7250d5" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 323 9
"63" "246f0838b749eb57dc1a255b75f2cf24" "Blattidae_cluster1" 0 "Animalia" "Arthropoda" "Insecta" "Blattodea" "Blattidae" "Shelfordella" "Shelfordella lateralis" "BOLAAG9959" 0 318 1
