siteID	trapID	latitude_WGS84	longitude_WGS84	trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
1	TKSUA6	55.56843	13.22241	forest	Multitrap	forest	4	4	190	NA
1	TFFDRE	55.56674	13.2215	forest	Multitrap	forest	4	3	190	NA
1	TGCHAV	55.56194	13.23522	forest	Multitrap	forest	4	10	220	NA
1	TBPT1B	55.56882	13.23092	grassland	Multitrap	grasslands	4	6	170	NA
1	TZWKHK	55.5664	13.23512	grassland	Multitrap	grasslands	4	8	130	NA
1	TWJED2	55.5612	13.22333	grassland	Multitrap	grasslands	4	1	100	NA
2	TMXZCE	56.02517	13.60693	cropland	Single_trap	cropland	15	7	150	NA
3	TSEQHD	56.029582	14.3973802	cropland	Multitrap	cropland	17	1	180	NA
3	TAI56Z	56.036	14.3955	cropland	Multitrap	cropland	17	4	200	NA
3	TEVVLD	56.0311	14.3975	cropland	Multitrap	cropland	17	2	180	NA
3	THBEZ5	56.03619	14.40726	forest	Multitrap	forest	17	7	180	NA
3	TF3STP	56.02937	14.4034735	forest	Multitrap	forest	17	11	210	NA
3	TKCEJN	56.0369	14.4032	forest	Multitrap	forest	17	6	180	NA
4	T7RGYH	56.24763	13.98903	grassland	Single_trap	grasslands	24	12	200	NA
5	TM9NNJ	56.2639	15.6096	urban	Single_trap	urban	28	9	180	NA
6	T7ZDZJ	56.265	15.2065	forest	Single_trap	forest	27	8	180	NA
7	TTAPUR	56.4501257	12.7592847	cropland	Single_trap	cropland	33	1	150	NA
8	THFUHH	56.48712	14.78502	forest	Single_trap	forest	38	3	120	NA
9	TKGCFR	56.90452	12.73087	cropland	Multitrap	cropland	56	6	240	NA
9	TMSD51	56.90455	12.72594	cropland	Multitrap	cropland	56	5	170	NA
9	TSDGQK	56.8976	12.72062	cropland	Multitrap	cropland	56	1	190	NA
9	T1TL12	56.90482	12.73262	forest	Multitrap	forest	56	7	130	NA
9	TWFXXZ	56.90231	12.73335	forest	Multitrap	forest	56	8	200	NA
9	TMNPJH	56.89761	12.72546	forest	Multitrap	forest	56	12	180	NA
10	TXGZUY	56.91555	13.54871	forest	Single_trap	forest	58	11	190	NA
11	T8IKAG	56.92413	13.95213	wetland	Single_trap	wetlands	59	2	200	NA
12	TNGTPF	56.9317	16.825	forest	Multitrap	forest	66	1	180	NA
12	TIRXWF	56.93147	16.82971	forest	Multitrap	forest	66	12	140	NA
12	TYKZSN	56.9317	16.8334	forest	Multitrap	forest	66	11	180	NA
12	TIAIK1	56.9376	16.8242	grassland	Multitrap	grasslands	66	4	240	NA
12	TRXMCY	56.9359	16.8252	grassland	Multitrap	grasslands	66	3	180	NA
12	TV6Z5Y	56.9386	16.8404	grassland	Multitrap	grasslands	66	7	180	NA
13	TDGFXV	56.93642	15.19485	grassland	Single_trap	grasslands	62	9	180	NA
14	TMLQED	57.16676	16.01334	forest	Multitrap	forest	78	6	164	NA
14	TWF14R	57.16018	16.01809	forest	Multitrap	forest	78	10	253	NA
14	THGUAX	57.16754	16.0202	urban	Multitrap	urban	78	7	162	NA
14	T5KGVY	57.16538	16.01778	urban	Multitrap	urban	78	8	98	NA
14	T6LS76	57.16676	16.00436	urban	Multitrap	urban	78	4	192	NA
14	TM4GA9	57.1669	16.00917	urban	Multitrap	urban/cropland	78	5	169	NA
15	T7WIMF	57.3824	14.75969	wetland	Single_trap	wetlands	88	2	200	NA
16	TFGCME	57.58628	18.52564	cropland	Multitrap	cropland	108	6	189	NA
16	TGX4C7	57.5862	18.52715	cropland	Multitrap	cropland	108	7	175	NA
16	T2KQJZ	57.58081	18.51479	cropland	Multitrap	cropland	108	1	248	NA
16	TRH2QM	57.58653	18.52065	forest	Multitrap	forest	108	5	150	NA
16	TJZEUI	57.5851226	18.5166415	forest	Multitrap	forest/cropland	108	4	175	NA
16	TKLVMZ	57.58047	18.51858	forest	Multitrap	forest	108	12	182	NA
17	TEYZYN	57.588	13.5053	forest	Single_trap	forest	99	12	180	NA
18	T5ZUGG	57.60835	14.34689	grassland	Single_trap	grasslands	101	7	180	NA
19	T4EMTM	57.615999	15.59351	forest	Single_trap	forest	104	5	137	NA
20	TSKEKT	57.77818	11.81663	grassland	Single_trap	cropland	109	7	260	NA
21	T8EUCF	57.78329	12.23948	urban	Single_trap	urban	110	10	230	NA
22	TGTDBY	57.81112	13.06627	cropland	Multitrap	cropland	112	4	170	NA
22	TNLTYQ	57.8085	13.07667	cropland	Multitrap	cropland	112	8	200	NA
22	TKMZ5X	57.80638	13.07751	cropland	Multitrap	cropland	112	9	190	NA
22	TYDUPV	57.81287	13.07544	grassland	Multitrap	grasslands	112	7	NA	NA
22	TPXB6L	57.80493	13.06586	grassland	Multitrap	grasslands	112	2	140	NA
22	TUHLET	57.8086	13.06653	grassland	Multitrap	grasslands	112	3	190	NA
23	TIUVZ1	57.8164316	13.4871933	forest	Single_trap	forest	113	3	190	NA
24	TCD3P4	58.22129	11.756527	forest	Single_trap	forest	142	2	190	NA
25	TWVCXF	58.23883	12.18512	grassland	Single_trap	grasslands	143	5	200	NA
26	TD5LHA	58.264608	13.468323	cropland	Multitrap	cropland	146	9	180	NA
26	TJXPPV	58.261656	13.469475	cropland	Multitrap	cropland	146	10	130	NA
26	TJS8IY	58.260725	13.466986	cropland	Multitrap	cropland	146	10	160	NA
26	TWQDCF	58.26089	13.45687	cropland	Multitrap	cropland	146	1	160	NA
26	TKGRKA	58.26522	13.45625	forest	Multitrap	forest	146	3	190	NA
26	TDKAFR	58.26813	13.45915	forest	Multitrap	forest	146	5	170	NA
27	TGXFSR	58.28649	15.585445	forest	Single_trap	forest	151	3	190	NA
28	TDUYXP	58.4210723	15.338425	urban	Single_trap	urban	157	8	NA	NA
29	TZZ9UM	58.48814	13.44034	cropland	Multitrap	cropland	164	2	210	NA
29	TUPA8G	58.4851905	13.448159	cropland	Multitrap	cropland	164	11	190	NA
29	TTE4BQ	58.4867401	13.4468759	cropland	Multitrap	cropland	164	12	210	NA
29	TZDKD7	58.48989	13.45307	forest	Multitrap	forest	164	8	210	NA
29	TFLSK1	58.4921176	13.4503646	forest	Multitrap	forest	164	6	170	NA
29	T1N5UR	58.49212	13.44094	forest	Multitrap	forest	164	4	170	NA
30	TIJXRJ	58.50586	16.44447	cropland	Single_trap	cropland	171	12	180	NA
31	TFHNHU	58.716329	13.859163	urban	Single_trap	urban	180	1	170	NA
32	TLG2QC	58.960366	16.016513	forest	Single_trap	forest	196	3	140	NA
33	TWCPQR	59.1645991	17.7683969	cropland	Multitrap	cropland	213	12	240	NA
33	TWLJ2P	59.171847	17.778725	forest	Multitrap	forest	213	7	NA	NA
33	TPUCG4	59.165495	17.773788	forest	Multitrap	forest	213	11	190	NA
33	TPFJTD	59.165516	17.777799	forest	Multitrap	forest	213	10	180	NA
