siteID	trapID	latitude_WGS84	longitude_WGS84	Locality		trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
47	TZVTYZ	60.531453	15.120207	SE, Dalarna, Gagnefs kommun, Gagnef Bodarna		forest	Single_trap	forest	293	5	200	NA
48	TM5LBB	60.533163	15.571019	SE, Dalarna, Borlänge kommun, Bromsmossen		wetland	Single_trap	wetlands	294	4	200	NA
49	TUQQIV	60.97032	14.65823	SE, Dalarna, Mora kommun, Nusnäs		forest	Single_trap	forest	309	10	178	NA
50	TSVHD1	61.201524	16.960304	SE, Hälsingland, Söderhamns kommun, Järvsjön		forest	Single_trap	forest	315	4	210	NA
51	TR24WG	61.40417	13.22408	SE, Dalarna, Älvdalens kommun, Älvdalen Nornäs		wetland	Single_trap	wetlands	317	3	182	NA
52	TZRRMG	61.41881	14.17379	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	8	184	NA
52	T5FPCF	61.41672	14.17256	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	9	181	NA
52	TU2YW9	61.41375	14.15902	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	1	174	NA
52	TDCIPI	61.41453	14.16377	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	12	180	NA
52	TC6XPC	61.42074	14.16817	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	6	184	NA
52	T1QLZR	61.4214	14.17319	SE, Dalarna, Mora kommun, Gyrisberget		forest	Multitrap	forest	319	7	178	NA
53	TBLZ38	61.6164	12.734833	SE, Dalarna, Älvdalens kommun, Fulufjället		alpine	Single_trap	alpine	326	2	178	NA
54	TZFRJA	61.636669	12.707244	SE, Dalarna, Älvdalens kommun, Björbäckstugan		forest	Single_trap	NA	NA	NA	NA	NA
55	TFECCG	61.78576	16.95073	SE, Hälsingland, Hudiksvalls kommun, Tåsta		wetland	Single_trap	NA	NA	NA	184	NA
56	TWSFGJ	61.86726	14.13552	SE, Härjedalen, Härjedalens kommun, Nordanhå		forest	Single_trap	forest	333	3	182	NA
57	THKAWB	61.8752487	16.5252547	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	8	180	NA
57	TMMIG9	61.8778805	16.5244326	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	7	NA	NA
57	TBSQHF	61.8754244	16.5112811	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	3	170	NA
57	TFQDEE	61.8776868	16.5102618	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	4	150	NA
57	TS1LPT	61.8779395	16.5155495	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	5	180	NA
57	TSFXCZ	61.8733921	16.5105652	SE, Hälsingland, Hudiksvalls kommun, Västansjö		forest	Multitrap	forest	337	2	140	NA
58	THGYUE	62.5418796	17.4983836	SE, Medelpad, Timrå kommun, Dalasvedjan		forest	Single_trap	forest	355	4	150	NA
59	TT79BQ	62.6352101	12.3795741	SE, Härjedalen, Härjedalens kommun, Kariknallarna		alpine	Single_trap	NA	NA	NA	NA	NA
60	TLFBSS	62.64846	17.792735	SE, Ångermanland, Härnösands kommun, Rödmyran		wetland	Single_trap	NA	NA	NA	176	NA
61	TLY1VQ	62.8463032	12.7777511	SE, Härjedalen, Bergs kommun, Ljungdalen		wetland	Single_trap	NA	NA	NA	180	NA
62	TG4NHB	62.9768433	18.0306489	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	10	NA	NA
62	T6WPKD	62.9812956	18.0309905	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	8	200	NA
62	TVNBV7	62.9786799	18.0311984	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	9	210	NA
62	TVCC3Y	62.9767733	18.0167185	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	1	170	NA
62	TCSZX1	62.9766708	18.0211542	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	12	180	NA
62	T2T1DJ	62.9768783	18.026823	SE, Ångermanland, Kramfors kommun, Sällsjön		forest	Multitrap	forest	374	11	200	NA
63	TXLZ8M	63.192267	14.660965	SE, Jämtland, Östersunds kommun, Östersund		urban	Single_trap	NA	NA	NA	180	NA
64	TE2T4A	63.2210968	13.1105481	SE, Jämtland, Åre kommun, Ottsjö		wetland	Single_trap	NA	NA	NA	NA	NA
65	T5R3X9	63.22362	15.056643	SE, Jämtland, Östersunds kommun, Svanamyren		forest	Single_trap	forest	381	5	180	NA
66	THGNFM	63.6136392	12.2281101	SE, Jämtland, Åre kommun, Stor-Björsjön		forest	Single_trap	NA	NA	NA	NA	NA
67	T6YFBI	63.6147513	12.2334286	SE, Jämtland, Åre kommun, Stor-Björsjön		wetland	Single_trap	NA	NA	NA	190	NA
68	TCIHNW	63.65601	14.03068	SE, Jämtland, Krokoms kommun, Libodvallen		forest	Multitrap	forest	399	1	178	NA
68	TSSMCA	63.65651	14.03552	SE, Jämtland, Krokoms kommun, Libodvallen		wetland	Multitrap	wetlands	399	12	172	NA
68	TKMUNP	63.66093	14.02957	SE, Jämtland, Krokoms kommun, Libodvallen		wetland	Multitrap	wetlands	399	3	173	NA
68	TEPZPF	63.66284	14.04025	SE, Jämtland, Krokoms kommun, Libodvallen		wetland	Multitrap	wetlands	399	6	178	NA
68	TZXF7I	63.66276	14.03527	SE, Jämtland, Krokoms kommun, Libodvallen		wetland	Multitrap	wetlands	399	5	175	NA
