sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
THGUAX_S	THGUAX	soil	23-07-2019	01:55:00_PM	ERS18959023	sample processed and sequenced
TJS8IY_S	TJS8IY	soil	01-07-2019	10:30:00_AM	ERS18959045	sample processed and sequenced
TKLVMZ_S	TKLVMZ	soil	23-07-2019	12:30:00_PM	NA	sample processed but sequencing failed
TKSUA6_S	TKSUA6	soil	18-07-2019	05:00:00_PM	ERS18959075	sample processed and sequenced
TRXMCY_S	TRXMCY	soil	17-07-2019	01:30:00_PM	ERS18959133	sample processed and sequenced
TSDGQK_S	TSDGQK	soil	01-07-2019	01:00:00_PM	ERS18959141	sample processed and sequenced
TSFYKU_S	TSFYKU	soil	05-07-2019	03:45:00_PM	ERS18959147	sample processed and sequenced
TV5KPB_S	TV5KPB	soil	08-07-2019	08:30:00_AM	ERS18959185	sample processed and sequenced
TWCPQR_S	TWCPQR	soil	26-06-2019	12:20:00_PM	ERS18959193	sample processed and sequenced
TWFXXZ_S	TWFXXZ	soil	02-07-2019	07:00:00_PM	NA	sample processed but sequencing failed
TWQDCF_S	TWQDCF	soil	01-07-2019	02:10:00_PM	ERS18959203	sample processed and sequenced
TWRXFI_S	TWRXFI	soil	29-07-2019	09:20:00_AM	ERS18959205	sample processed and sequenced
TYBVXB_S	TYBVXB	soil	26-06-2019	02:20:00_PM	ERS18959219	sample processed and sequenced
TYUAHW_S	TYUAHW	soil	26-06-2019	02:20:00_PM	ERS18959229	sample processed and sequenced
TZWKHK_S	TZWKHK	soil	19-07-2019	06:00:00_PM	ERS18959243	sample processed and sequenced
TRH2QM_S	TRH2QM	soil	23-07-2019	05:15:00_PM	NA	sample processed but sequencing failed
TSEQHD_S	TSEQHD	soil	04-07-2019	12:30:00_PM	NA	sample processed but sequencing failed
T1KSIA_S	T1KSIA	soil	16-07-2019	09:45:00_AM	ERS18958872	sample processed and sequenced
T1QLZR_S	T1QLZR	soil	17-07-2019	12:30:00_PM	ERS18958876	sample processed and sequenced
T6WPKD_S	T6WPKD	soil	02-07-2019	04:30:00_PM	ERS18958912	sample processed and sequenced
TDUYXP_S	TDUYXP	soil	18-07-2019	02:30:00_PM	ERS18958972	sample processed and sequenced
TFIA7R_S	TFIA7R	soil	27-07-2019	10:20:00_AM	NA	sample processed but sequencing failed
TFLSK1_S	TFLSK1	soil	04-07-2019	02:05:00_PM	ERS18958996	sample processed and sequenced
TFQDEE_S	TFQDEE	soil	22-07-2019	02:53:00_PM	ERS18958998	sample processed and sequenced
TGX4C7_S	TGX4C7	soil	24-07-2019	09:00:00_AM	ERS18959012	sample processed and sequenced
THFUHH_S	THFUHH	soil	10-07-2019	10:30:00_AM	ERS18959017	sample processed and sequenced
THGYUE_S	THGYUE	soil	30-06-2019	11:00:00_AM	ERS18959025	sample processed and sequenced
TIJXRJ_S	TIJXRJ	soil	19-07-2019	09:50:00_AM	ERS18959033	sample processed and sequenced
TIS5BD_S	TIS5BD	soil	03-07-2019	10:50:00_AM	ERS18959037	sample processed and sequenced
TJZEUI_S	TJZEUI	soil	23-07-2019	07:30:00_PM	ERS18959053	sample processed and sequenced
TJZHPY_S	TJZHPY	soil	20-07-2019	04:25:00_PM	ERS18959055	sample processed and sequenced
TKGCFR_S	TKGCFR	soil	02-07-2019	03:30:00_PM	NA	sample processed but sequencing failed
TKMZ5X_S	TKMZ5X	soil	11-07-2019	05:30:00_PM	NA	sample processed but sequencing failed
TL3KCT_S	TL3KCT	soil	10-07-2019	08:24:00_AM	NA	sample processed but sequencing failed
TLCIG9_S	TLCIG9	soil	02-07-2019	05:45:00_PM	NA	sample processed but sequencing failed
TLFEGH_S	TLFEGH	soil	02-07-2019	02:15:00_PM	ERS18959083	sample processed and sequenced
TMMIG9_S	TMMIG9	soil	21-07-2019	08:27:00_AM	ERS18959097	sample processed and sequenced
TMSD51_S	TMSD51	soil	02-07-2019	10:00:00_AM	ERS18959101	sample processed and sequenced
TND7ZQ_S	TND7ZQ	soil	05-07-2019	10:30:00_AM	ERS18959107	sample processed and sequenced
TNGTPF_S	TNGTPF	soil	16-07-2019	10:20:00_AM	ERS18959109	sample processed and sequenced
TNLTYQ_S	TNLTYQ	soil	11-07-2019	02:50:00_PM	ERS18959111	sample processed and sequenced
TPFJTD_S	TPFJTD	soil	26-06-2019	02:00:00_PM	ERS18959115	sample processed and sequenced
TSKEKT_S	TSKEKT	soil	09-07-2019	09:50:00_AM	ERS18959149	sample processed and sequenced
TTAPUR_S	TTAPUR	soil	13-07-2019	03:30:00_PM	ERS18959161	sample processed and sequenced
TUHLET_S	TUHLET	soil	16-07-2019	10:15:00_AM	ERS18959175	sample processed and sequenced
TV2QKF_S	TV2QKF	soil	08-07-2019	03:25:00_PM	ERS18959183	sample processed and sequenced
TVNBV7_S	TVNBV7	soil	03-07-2019	10:00:00_AM	ERS18959191	sample processed and sequenced
TZQFGP_S	TZQFGP	soil	10-07-2019	06:30:00_PM	ERS18959237	sample processed and sequenced
T1N5UR_S	T1N5UR	soil	04-07-2019	10:15:00_AM	ERS18958874	sample processed and sequenced
T2T1DJ_S	T2T1DJ	soil	02-07-2019	12:30:00_PM	ERS18958886	sample processed and sequenced
T5R3X9_S	T5R3X9	soil	27-07-2019	10:40:00_AM	ERS18958902	sample processed and sequenced
T7WIMF_S	T7WIMF	soil	17-07-2019	01:00:00_PM	ERS18958916	sample processed and sequenced
T7ZDZJ_S	T7ZDZJ	soil	11-07-2019	02:45:00_PM	ERS18958918	sample processed and sequenced
T8IKAG_S	T8IKAG	soil	09-07-2019	04:00:00_PM	ERS18958926	sample processed and sequenced
TBGYQQ_S	TBGYQQ	soil	04-07-2019	10:30:00_AM	ERS18958942	sample processed and sequenced
TBLZ38_S	TBLZ38	soil	18-07-2019	03:55:00_PM	ERS18958944	sample processed and sequenced
TC6XPC_S	TC6XPC	soil	17-07-2019	07:40:00_AM	ERS18958950	sample processed and sequenced
TCD3P4_S	TCD3P4	soil	09-07-2019	04:20:00_PM	ERS18958954	sample processed and sequenced
TCIHNW_S	TCIHNW	soil	26-07-2019	04:30:00_PM	ERS18958956	sample processed and sequenced
TCMKFJ_S	TCMKFJ	soil	10-07-2019	01:55:00_PM	ERS18958958	sample processed and sequenced
TD5LHA_S	TD5LHA	soil	02-07-2019	04:30:00_PM	NA	sample processed but sequencing failed
TDGFXV_S	TDGFXV	soil	10-07-2019	03:35:00_PM	ERS18958966	sample processed and sequenced
TEPZPF_S	TEPZPF	soil	26-07-2019	01:05:00_PM	ERS18958978	sample processed and sequenced
TFHNHU_S	TFHNHU	soil	15-07-2019	02:45:00_PM	ERS18958992	sample processed and sequenced
TFUBVV_S	TFUBVV	soil	24-07-2019	10:15:00_AM	ERS18959000	sample processed and sequenced
TG4NHB_S	TG4NHB	soil	03-07-2019	11:30:00_AM	ERS18959002	sample processed and sequenced
TG8NKF_S	TG8NKF	soil	11-07-2019	10:50:00_AM	ERS18959006	sample processed and sequenced
TGXFSR_S	TGXFSR	soil	18-07-2019	09:30:00_AM	ERS18959014	sample processed and sequenced
THG7AZ_S	THG7AZ	soil	15-07-2019	12:45:00_PM	ERS18959019	sample processed and sequenced
THGNFM_S	THGNFM	soil	22-07-2019	01:50:00_PM	ERS18959021	sample processed and sequenced
THKAWB_S	THKAWB	soil	21-07-2019	11:25:00_AM	ERS18959027	sample processed and sequenced
TIRXWF_S	TIRXWF	soil	16-07-2019	03:00:00_PM	NA	sample processed but sequencing failed
TJBXIG_S	TJBXIG	soil	10-07-2019	02:30:00_PM	ERS18959041	sample processed and sequenced
TJXUUR_S	TJXUUR	soil	16-07-2019	12:50:00_PM	ERS18959051	sample processed and sequenced
TK5FQJ_S	TK5FQJ	soil	02-07-2019	10:55:00_AM	ERS18959059	sample processed and sequenced
TLG2QC_S	TLG2QC	soil	10-07-2019	01:05:00_PM	ERS18959085	sample processed and sequenced
TM4GA9_S	TM4GA9	soil	23-07-2019	09:15:00_AM	ERS18959089	sample processed and sequenced
TM9NNJ_S	TM9NNJ	soil	11-07-2019	11:00:00_AM	ERS18959093	sample processed and sequenced
TMLQED_S	TMLQED	soil	23-07-2019	11:10:00_AM	ERS18959095	sample processed and sequenced
TRB71K_S	TRB71K	soil	15-07-2019	10:20:00_AM	ERS18959127	sample processed and sequenced
TRICKN_S	TRICKN	soil	15-07-2019	09:55:00_AM	ERS18959131	sample processed and sequenced
TS1LPT_S	TS1LPT	soil	21-07-2019	01:55:00_PM	ERS18959135	sample processed and sequenced
TSFXCZ_S	TSFXCZ	soil	22-07-2019	08:05:00_AM	ERS18959145	sample processed and sequenced
TT79BQ_S	TT79BQ	soil	23-07-2019	01:15:00_PM	ERS18959157	sample processed and sequenced
TTWBA4_S	TTWBA4	soil	05-07-2019	08:30:00_AM	ERS18959167	sample processed and sequenced
TUPA8G_S	TUPA8G	soil	03-07-2019	03:00:00_PM	NA	sample processed but sequencing failed
TVCC3Y_S	TVCC3Y	soil	01-07-2019	02:00:00_PM	ERS18959189	sample processed and sequenced
TWSFGJ_S	TWSFGJ	soil	19-07-2019	08:30:00_AM	ERS18959207	sample processed and sequenced
TXGZUY_S	TXGZUY	soil	12-07-2019	03:15:00_PM	ERS18959211	sample processed and sequenced
TYKB9L_S	TYKB9L	soil	30-06-2019	01:35:00_PM	ERS18959223	sample processed and sequenced
TZ6Q7T_S	TZ6Q7T	soil	21-07-2019	12:10:00_PM	ERS18959231	sample processed and sequenced
TZDKD7_S	TZDKD7	soil	05-07-2019	02:40:00_PM	ERS18959233	sample processed and sequenced
T1YMRX_S	T1YMRX	soil	20-07-2019	12:30:00_PM	ERS18958880	sample processed and sequenced
T2NGGK_S	T2NGGK	soil	17-07-2019	09:15:00_AM	ERS18958884	sample processed and sequenced
T5CELX_S	T5CELX	soil	03-07-2019	01:05:00_PM	ERS18958896	sample processed and sequenced
T5XNHX_S	T5XNHX	soil	01-07-2019	05:40:00_PM	ERS18958904	sample processed and sequenced
T6K6TA_S	T6K6TA	soil	05-07-2019	02:00:00_PM	ERS18958908	sample processed and sequenced
TBSQHF_S	TBSQHF	soil	22-07-2019	12:39:00_PM	ERS18958948	sample processed and sequenced
TDPRNI_S	TDPRNI	soil	08-07-2019	01:45:00_PM	ERS18958970	sample processed and sequenced
TE2T4A_S	TE2T4A	soil	24-07-2019	10:40:00_AM	ERS18958974	sample processed and sequenced
TEHHBJ_S	TEHHBJ	soil	08-07-2019	NA	ERS18958976	sample processed and sequenced
TI93DT_S	TI93DT	soil	19-07-2019	02:00:00_PM	ERS18959029	sample processed and sequenced
TJW6L7_S	TJW6L7	soil	15-07-2019	12:20:00_PM	ERS18959047	sample processed and sequenced
TJXPPV_S	TJXPPV	soil	02-07-2019	07:10:00_PM	NA	sample processed but sequencing failed
TKCEJN_S	TKCEJN	soil	03-07-2019	02:00:00_PM	NA	sample processed but sequencing failed
TKIAHP_S	TKIAHP	soil	01-07-2019	01:35:00_PM	ERS18959067	sample processed and sequenced
TNPKST_S	TNPKST	soil	16-07-2019	12:20:00_PM	ERS18959113	sample processed and sequenced
TPUCG4_S	TPUCG4	soil	26-06-2019	01:55:00_PM	ERS18959117	sample processed and sequenced
TR9HSR_S	TR9HSR	soil	26-07-2019	10:00:00_AM	ERS18959125	sample processed and sequenced
TU2YW9_S	TU2YW9	soil	16-07-2019	08:50:00_AM	ERS18959169	sample processed and sequenced
TUQ4KK_S	TUQ4KK	soil	24-07-2019	04:35:00_PM	ERS18959179	sample processed and sequenced
TWLJ2P_S	TWLJ2P	soil	26-06-2019	02:40:00_PM	ERS18959201	sample processed and sequenced
TYAASL_S	TYAASL	soil	04-07-2019	10:00:00_AM	ERS18959217	sample processed and sequenced
TYRKAV_S	TYRKAV	soil	27-07-2019	06:00:00_PM	ERS18959227	sample processed and sequenced
