trapID	date	litter_depth_center (mm)	litter_depth_1 (mm)	litter_depth_2 (mm)	litter_depth_3 (mm)	litter_depth_4 (mm)	soil_humidity_center (%)	soil_humidity_1 (%)	soil_humidity_2 (%)	soil_humidity_2 (%) 	soil_humidity_4 (%)	pH	organic_carbon (g/kg)	total_nitrogen (g/kg)	total_phosphorus (g/kg)	potassium_exchange (cmol/kg)	calcium_exchange (cmol/kg)	magnesium_exchange (cmol/kg)																	
TDKTHY	2020-11-04	80,0	290,0	300,0	160,0	130,0	20,5	5,4	8,0	14,9	16,4	4,42	75,05	3,80	0,30	0,09	0,14	0,22																	
TEYXBT	2020-11-03	200,0	220,0	270,0	240,0	250,0	18,0	6,8	12,6	9,4	10,5	4,14	87,80	3,57	0,25	0,07	0,12	0,21																	
TTFJBN	2020-11-02	185,0	260,0	450,0	400,0	400,0	9,8	4,8	4,7	10,6	5,4	4,14	128,80	4,45	0,24	0,12	0,23	0,19																	
TZJWN3	2020-10-27	15,0	110,0	120,0	50,0	105,0	18,6	11,7	12,0	21,6	7,9	4,91	110,88	4,16	0,40	0,13	0,50	0,54																	
TDY8SA	2020-10-20	160,0	190,0	240,0	200,0	120,0	6,6	6,4	7,0	7,0	8,2	4,20	132,72	5,80	0,68	0,14	0,13	0,17																	
TXS3QU	2020-11-18	5,0	10,0	25,0	15,0	5,0	34,6	23,7	18,0	25,8	20,0	4,61	74,61	4,13	0,90	0,22	0,98	0,99																	
TRA8W1	2020-11-14	20,0	20,0	54,0	103,0	80,0	48,4	21,2	53,2	20,0	48,7	5,65	94,07	3,75	0,86	0,15	0,07	0,31																	
TRJZGH	2020-11-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5,46	97,26	3,60	0,27	0,05	0,08	0,07																	
TK1MIJ	2020-11-09	10,0	9,0	12,0	10,0	11,0	110,0	6,4	7,7	4,8	13,6	6,29	52,15	2,58	0,69	0,21	8,13	0,22																	
TAHDZD	2020-11-15	120,0	170,0	140,0	120,0	220,0	NA	NA	NA	NA	NA	5,19	76,81	2,83	0,72	0,06	0,09	4,39																	
